Speaker,Word,Frequency,Debate
KASICH,defend,1,12_republican_debate.txt
KASICH,vote,1,12_republican_debate.txt
KASICH,simply,1,12_republican_debate.txt
KASICH,seniors,2,12_republican_debate.txt
KASICH,little,1,12_republican_debate.txt
KASICH,sense,1,12_republican_debate.txt
KASICH,country,10,12_republican_debate.txt
KASICH,regional,1,12_republican_debate.txt
KASICH,ca,2,12_republican_debate.txt
KASICH,worried,6,12_republican_debate.txt
KASICH,nominee,1,12_republican_debate.txt
KASICH,threat,1,12_republican_debate.txt
KASICH,butchered,1,12_republican_debate.txt
KASICH,states,8,12_republican_debate.txt
KASICH,chance,1,12_republican_debate.txt
KASICH,earn,1,12_republican_debate.txt
KASICH,happen,4,12_republican_debate.txt
KASICH,environmental,2,12_republican_debate.txt
KASICH,go,6,12_republican_debate.txt
KASICH,show,2,12_republican_debate.txt
KASICH,nature,1,12_republican_debate.txt
KASICH,party,2,12_republican_debate.txt
KASICH,lifetime,1,12_republican_debate.txt
KASICH,power,5,12_republican_debate.txt
KASICH,natural,1,12_republican_debate.txt
KASICH,along,3,12_republican_debate.txt
KASICH,result,1,12_republican_debate.txt
KASICH,social,8,12_republican_debate.txt
KASICH,went,5,12_republican_debate.txt
KASICH,done,9,12_republican_debate.txt
KASICH,election,1,12_republican_debate.txt
KASICH,attacks,1,12_republican_debate.txt
KASICH,hacking,1,12_republican_debate.txt
KASICH,responsive,1,12_republican_debate.txt
KASICH,share,1,12_republican_debate.txt
KASICH,guidance,1,12_republican_debate.txt
KASICH,pursue,2,12_republican_debate.txt
KASICH,manipulate,1,12_republican_debate.txt
KASICH,trying,3,12_republican_debate.txt
KASICH,violence,1,12_republican_debate.txt
KASICH,ended,1,12_republican_debate.txt
KASICH,around,3,12_republican_debate.txt
KASICH,please,1,12_republican_debate.txt
KASICH,top,1,12_republican_debate.txt
KASICH,sending,1,12_republican_debate.txt
KASICH,weeks,1,12_republican_debate.txt
KASICH,shrunk,1,12_republican_debate.txt
